Date,Speaker,timetype,time,contents
2021-03-20,정선용,오후,4:08,1조 톡방입니다~~!!
2021-03-20,금나연,오후,4:08,안녕하세요~~
2021-03-20,전희선,오후,4:08,와~!
2021-03-20,이승희,오후,4:13,기프OT 노션 사이트입니다. https://han.gl/SrPM1
2021-03-20,금나연,오후,4:23,https://docs.google.com/document/d/1NhCtPL0LtFgZHyLb0suQFPkCi8umNgeVqILidwZkpy0/edit?usp=sharing
2021-03-20,금나연,오후,4:23,정리중입니다!
2021-03-20,이승희,오후,4:23,굿
2021-03-20,이승희,오후,4:24,강남/잠실
2021-03-20,정선용,오후,4:24,강남/ 사당
2021-03-20,금나연,오후,4:24,9호선/신촌
2021-03-20,민지,오후,4:25,노원.....(어디든 가능)
2021-03-20,남기쁨,오후,4:25,7시 이전: 사당/그 이후는 어디든
2021-03-20,전희선,오후,4:25,홍ㄷ대/신촌/강남/용산
2021-03-20,정선용,오후,4:26,월요일 강남 
2021-03-20,이승희,오후,4:27,"(이승희,전희선 24시간가능)"
2021-03-20,정선용,오후,4:27,월요일 7시 강남역 
2021-03-20,이승희,오후,4:32,아니면 프리라이더의 특징을 브레인스토밍해볼까요??
2021-03-20,금나연,오후,4:32,좋아요
2021-03-20,남기쁨,오후,4:40,잠수
2021-03-20,전희선,오후,4:41,"평가기준 2번에 어플에서 카카오톡 단톡방 정보를 올바르게 수신 했는지 확인할 예정이라고 하셨는데, 이 뜻이 어플을 카카오톡과 연동하여 실시간으로 받아오라는 건지 아니면 카카오톡 대화방을 저장한 파일을 불러오는 것으로 진행해도 되는건지 궁금합니다."
2021-03-20,금나연,오후,4:43,톡게시판 '투표': ㅇㅇ
2021-03-20,금나연,오후,4:45,톡게시판 '투표 종료': ㅇㅇ
2021-03-20,금나연,오후,4:53,파일: 과제 1.docx
2021-03-20,금나연,오후,4:54,이모티콘
2021-03-20,금나연,오후,4:55,"톡게시판 '공지': 평가기준 2번에 어플에서 카카오톡 단톡방 정보를 올바르게 수신 했는지 확인할 예정이라고 하셨는데, 이 뜻이 어플을 카카오톡과 연동하여 실시간으로 받아오라는 건지 아니면 카카오톡 대화방을 저장한 파일을 불러오는 것으로 진행해도 되는건지 궁금합니다."
2021-03-20,전희선,오후,4:55,그룹콜 해요
2021-03-20,전희선,오후,4:55,그룹콜 부재중
2021-03-20,금나연,오후,4:56,제목
2021-03-20,금나연,오후,4:58,사진
2021-03-20,금나연,오후,5:00,동영상
2021-03-20,민지,오후,5:05,사진
2021-03-20,이승희,오후,5:28,사진
2021-03-20,금나연,오후,5:33,저희도...
2021-03-20,금나연,오후,5:33,거의매일...
2021-03-20,금나연,오후,5:33,그날 커밋 없는 사람 찾아냅니다...
2021-03-20,금나연,오후,5:33,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021-03-20,전희선,오후,5:41,월요일에 만나요!
2021-03-20,금나연,오후,5:41,어디서 볼까요?!
2021-03-20,전희선,오후,5:41,이모티콘
2021-03-20,전희선,오후,5:41,스터디카페를
2021-03-20,전희선,오후,5:41,예약해야할거같아요
2021-03-20,금나연,오후,5:42,7시부터
2021-03-20,금나연,오후,5:42,몇시간할까욥
2021-03-20,금나연,오후,5:42,두시간? 세시간?
2021-03-20,전희선,오후,5:42,세시간..
2021-03-20,남기쁨,오후,5:42,ㅇㅇㅋㅋㅋㅋ
2021-03-20,전희선,오후,5:42,저거도
2021-03-20,전희선,오후,5:42,부족해서 집가서
2021-03-20,전희선,오후,5:42,줌킬거같아요
2021-03-20,전희선,오후,5:42,",,,,,,,,,,,,,,,,,,,,,,,,"
2021-03-20,금나연,오후,5:43,앜ㅋㅋㅋㅋㅋㅋ 저랑 선용님 지금 바로 캐글 스터디 해야해서
2021-03-20,금나연,오후,5:43,다른분들이 스터디룸좀...
2021-03-20,남기쁨,오후,5:44,네네 지금 찾고 있어요
2021-03-20,정선용,오후,5:44,다녀올게요ㅠㅠㅠㅠ
2021-03-20,금나연,오후,5:44,레포지토리도....
